,abv,ibu,srm,style_new
530,0.048,25.0,12.0,Red Ale
531,0.06,36.0,45.0,Stout
532,0.053,48.0,7.0,Pale Ale
533,0.054000000000000006,30.0,12.0,Red Ale
534,0.05,30.0,7.0,Pale Ale
535,0.057,44.0,7.0,Pale Ale
537,0.085,69.0,10.0,IPA
538,0.06,54.0,7.0,Pale Ale
539,0.04,20.0,3.0,Witbier
540,0.06,34.0,30.0,Porter
541,0.06,54.0,7.0,Pale Ale
546,0.065,25.0,12.0,Red Ale
547,0.05,35.0,7.0,Pale Ale
548,0.04,55.0,10.0,IPA
550,0.069,67.0,10.0,IPA
551,0.07,40.0,10.0,IPA
552,0.052000000000000005,18.0,4.0,Blonde Ale
553,0.046,17.0,8.0,Fruit / Vegetable Beer
554,0.043,14.0,11.0,Lager
555,0.075,70.0,10.0,IPA
557,0.055999999999999994,55.0,7.0,Pale Ale
559,0.062,45.0,10.0,IPA
561,0.059000000000000004,42.0,10.0,IPA
563,0.055,30.0,12.0,Märzen
564,0.059000000000000004,42.0,10.0,IPA
568,0.059000000000000004,42.0,10.0,IPA
569,0.076,65.0,10.0,IPA
570,0.062,40.0,11.0,Lager
571,0.08800000000000001,77.0,10.0,IPA
572,0.07200000000000001,45.0,10.0,IPA
573,0.06,30.0,12.0,Märzen
575,0.08,86.0,10.0,IPA
576,0.099,85.0,45.0,Stout
577,0.063,21.0,4.0,Pilsner
578,0.07,68.0,7.0,Pale Ale
580,0.045,32.0,7.0,Pale Ale
582,0.049,20.0,4.0,Blonde Ale
583,0.055,60.0,12.0,Red Ale
586,0.047,28.0,18.0,Brown Ale
587,0.057999999999999996,45.0,10.0,IPA
588,0.049,20.0,4.0,Blonde Ale
589,0.078,60.0,15.0,Strong Ale
590,0.063,70.0,10.0,IPA
591,0.049,20.0,4.0,Blonde Ale
592,0.048,13.0,11.0,Lager
593,0.065,90.0,10.0,IPA
594,0.065,90.0,10.0,IPA
595,0.049,20.0,4.0,Blonde Ale
597,0.06,50.0,7.0,Pale Ale
611,0.057999999999999996,60.0,12.0,Red Ale
612,0.057999999999999996,35.0,45.0,Stout
613,0.066,75.0,10.0,IPA
614,0.073,70.0,15.0,Strong Ale
615,0.06,60.0,10.0,IPA
